country_of_citizenship,year,iso3c,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Algeria,2020,DZA,1,4.2,164.873415325201,2.5474088661994423
Brazil,2020,BRA,45,127.1,1476.10723119411,8.610485560536231
New Zealand,2020,NZL,2,13.4,212.69753089756,6.30002611852309
Kazakhstan,2020,KAZ,4,12.0,171.082365861423,7.014165334678631
Norway,2020,NOR,12,26.2,367.633418886627,7.126664403727593
China,2020,CHN,387,1177.5,14687.744162801,8.01688800504983
Eswatini (Swaziland),2020,SWZ,1,2.7,3.9822366938316,67.80109289290219
Colombia,2021,COL,5,26.2,318.524633225395,8.225423489134137
Zimbabwe,2021,ZWE,1,1.5,28.3712386655116,5.287044452604098
St. Kitts and Nevis,2021,KNA,1,1.6,0.858622222222222,186.3450489155754
Kazakhstan,2021,KAZ,5,16.9,197.112255360612,8.57379464766504
Macau,2021,MAC,1,3.1,,
Cyprus,2021,CYP,5,18.1,29.482912835364203,61.39149174666823
United States,2021,USA,724,4398.4,23594.031,18.642003140540076
Australia,2021,AUS,44,181.5,1559.0337562851298,11.641826180369483
Lebanon,2021,LBN,6,10.8,23.1319415567843,46.688687905803995
Malaysia,2021,MYS,17,68.0,373.832428055449,18.18996825762634
Mexico,2021,MEX,13,136.1,1313.0697639866,10.365024291381742
Sweden,2021,SWE,41,182.0,639.714956069468,28.45017116971019
Liechtenstein,2021,LIE,1,5.5,7.71038008592257,71.33241083720075
China,2021,CHN,626,2531.9,17820.4595088522,14.207826676648235
Taiwan,2021,TWN,47,115.6,,
Switzerland,2021,CHE,40,145.5,813.408787222499,17.887684800754442
Netherlands,2021,NLD,24,87.6,516.2089732313121,16.969871610648394
Finland,2021,FIN,7,16.5,296.470417085267,5.56547940338158
Japan,2021,JPN,49,225.4,5034.62078458498,4.477000545704068
Indonesia,2021,IDN,21,85.0,1186.50969108673,7.1638690049086815
France,2021,FRA,42,512.2,2959.3558191705,17.307820731863476
India,2021,IND,140,596.4,3167.27062326052,18.83009287618249
Thailand,2021,THA,31,105.4,506.25649429734005,20.819486009022004
Norway,2021,NOR,12,38.3,503.367986030268,7.608747688156906
Georgia,2021,GEO,2,8.0,18.8531155888106,42.4333047888808
Algeria,2021,DZA,1,4.8,186.265418570697,2.5769678756436267
United Kingdom,2021,GBR,56,213.9,3141.5061566187,6.808835932068558
Brazil,2021,BRA,65,211.7,1670.64739903467,12.67173433019583
Russia,2021,RUS,117,585.0,1843.3922937343798,31.734970466589925
Oman,2021,OMN,1,2.3,88.19197737321201,2.607946968086256
Venezuela,2021,VEN,1,3.2,,
Ukraine,2021,UKR,7,18.9,199.765859570935,9.461076102089798
Germany,2021,DEU,135,623.9,4278.50393468985,14.582199982135267
Belgium,2021,BEL,3,12.6,600.904461226347,2.0968391504841675
Iceland,2021,ISL,2,3.2,25.7978709842963,12.40412436339381
Romania,2021,ROU,2,7.7,285.81024450193297,2.6940951726269993
Argentina,2021,ARG,5,15.299999999999999,487.90257216434804,3.1358719697108413
Hungary,2021,HUN,2,2.7,182.10999947769102,1.482620398519499
Greece,2021,GRC,4,13.9,214.667807441202,6.475120869628876
Philippines,2021,PHL,17,45.6,394.08735984811,11.571038466591583
Qatar,2021,QAT,2,2.9000000000000004,179.73200956044,1.6135133675366786
Turkey,2021,TUR,27,55.2,819.865253669661,6.732813685288962
Portugal,2021,PRT,2,7.2,255.534839405899,2.8176197096018325
Hong Kong,2021,HKG,71,448.2,368.954169748818,121.47850241267963
Poland,2021,POL,8,20.3,681.3460776086071,2.9793963254692937
Guernsey,2021,GGY,1,2.6,,
Peru,2021,PER,6,11.4,226.354278280885,5.036352785810233
Nigeria,2021,NGA,6,45.0,227.87699731227352,19.74749559225313
Chile,2021,CHL,9,42.7,315.515014838539,13.533428835978285
Nepal,2021,NPL,1,1.4,36.9248413942605,3.7914854800638693
Denmark,2021,DNK,10,61.3,405.68799885269095,15.110133938731225
Tanzania,2021,TZA,1,1.6,70.65562814789861,2.2645046713771038
Czechia,2021,CZE,9,41.4,281.7912185071,14.691728230330531
Italy,2021,ITA,51,204.5,2154.87549374493,9.490107460668279
South Korea,2021,KOR,43,121.4,1818.43210688004,6.6760809788104245
Singapore,2021,SGP,27,156.9,434.11155928284904,36.14278326502024
Israel,2021,ISR,25,73.0,488.526545878891,14.942893199113316
Egypt,2021,EGY,6,18.400000000000002,424.6717654557039,4.33275802554367
Canada,2021,CAN,64,231.1,2007.4721814641498,11.511990160254536
South Africa,2021,ZAF,5,22.1,420.117812466041,5.260429180632847
Vietnam,2021,VNM,6,16.7,366.474752771009,4.556930558988592
Eswatini (Swaziland),2021,SWZ,1,4.7,4.85084254099267,96.89038471733609
Ireland,2021,IRL,9,42.9,513.3917788828601,8.35619146324282
United Arab Emirates,2021,ARE,4,11.0,415.17879275697805,2.6494609531847577
New Zealand,2021,NZL,2,11.1,253.64407978497698,4.376210952532328
Armenia,2021,ARM,1,1.0,13.878908628937799,7.2051774871907455
Slovakia,2021,SVK,2,2.9,118.563266602359,2.445951501763279
Spain,2021,ESP,30,137.0,1445.65165360463,9.476695140105171
Monaco,2021,MCO,3,4.8,8.62608132050612,55.6451976471556
Austria,2021,AUT,12,62.699999999999996,479.2953627470471,13.081703866409104
Morocco,2021,MAR,2,3.2,141.81779708346798,2.2564163777812842
Belize,2022,BLZ,1,3.6,2.8305075756841003,127.18566913320917
Australia,2022,AUS,46,207.1,1692.9566468557,12.233036231887176
Turkey,2022,TUR,24,40.8,907.118435952688,4.497758879429056
Taiwan,2022,TWN,51,150.9,,
Bulgaria,2022,BGR,2,4.0,90.3461699149349,4.427415134217847
Belgium,2022,BEL,3,11.9,583.613982019263,2.0390190034218927
Canada,2022,CAN,65,312.6,2161.48336942201,14.462290315173261
Brazil,2022,BRA,63,194.1,1951.92394208332,9.944035001324586
Austria,2022,AUT,11,61.699999999999996,470.941926750741,13.101403059544628
Thailand,2022,THA,28,95.3,495.645210972751,19.227463090577363
Barbados,2022,BRB,1,1.7,5.8406737,29.10623135820787
Argentina,2022,ARG,6,14.0,631.1333844399439,2.218231572779713
Ukraine,2022,UKR,7,11.9,161.98952072119,7.3461542123343975
Tanzania,2022,TZA,1,1.5,75.76997450501061,1.9796759993641098
United Arab Emirates,2022,ARE,4,22.9,507.06396827774,4.516195476831183
United Kingdom,2022,GBR,50,200.1,3088.83976344502,6.478160582108866
Hong Kong,2022,HKG,67,383.4,358.69626148116,106.88709116086997
